method,dataset,rep,clones,beta,lambdaE,N,pNormal,lambdaDelta,focal,mean_library_size,mean_allelic_coverage,phase_switch,wgd,doublet,hscn_error,tcn_mse,clone_ari,clone_nmi,loh_f1,loh_precision,loh_recall,msr,breakpoint_f1,breakpoint_precision,breakpoint_recall,nrf_distance,tree_coverage,cell_node_match_accuracy,retention_rate
SCICoNE,amplitude_1_0_rep45,45,4,0.5,40.0,200,0.1,1.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.12875,0.9958452683195511,0.9911230434693401,NA,NA,NA,NA,0.62882096069869,0.5714285714285714,0.6990291262135923,NA,NA,NA,NA
SCICoNE,amplitude_1_0_rep46,46,4,0.5,40.0,200,0.1,1.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.07471428571428572,0.8781010989989542,0.914749812155844,NA,NA,NA,NA,0.39357429718875503,0.2722222222222222,0.7101449275362319,NA,NA,NA,NA
SCICoNE,amplitude_4_0_rep42,42,4,0.5,40.0,200,0.1,4.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.9666666666666667,1.0,1.0,NA,NA,NA,NA,0.543859649122807,0.45588235294117646,0.6739130434782609,NA,NA,NA,NA
SCICoNE,amplitude_4_0_rep43,43,4,0.5,40.0,200,0.1,4.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.2730851063829787,0.8754349537508398,0.9291208310414164,NA,NA,NA,NA,0.6605504587155964,0.576,0.7741935483870968,NA,NA,NA,NA
SCICoNE,amplitude_4_0_rep44,44,4,0.5,40.0,200,0.1,4.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.9088414634146341,1.0,1.0,NA,NA,NA,NA,0.5253456221198156,0.41911764705882354,0.7037037037037037,NA,NA,NA,NA
SCICoNE,amplitude_4_0_rep45,45,4,0.5,40.0,200,0.1,4.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.6054347826086957,1.0,1.0,NA,NA,NA,NA,0.45643153526970953,0.36666666666666664,0.6043956043956044,NA,NA,NA,NA
SCICoNE,amplitude_4_0_rep46,46,4,0.5,40.0,200,0.1,4.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,1.8473684210526315,0.8217455741763163,0.8675662277074182,NA,NA,NA,NA,0.2642857142857143,0.18048780487804877,0.49333333333333335,NA,NA,NA,NA
SCICoNE,beta_0_1_rep42,42,4,0.1,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.28578125,0.7176862653797377,0.8701116447719073,NA,NA,NA,NA,0.37914691943127965,0.2702702702702703,0.6349206349206349,NA,NA,NA,NA
SCICoNE,beta_0_1_rep43,43,4,0.1,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.2405844155844156,0.9899502728810694,0.9837660735954208,NA,NA,NA,NA,0.497737556561086,0.3793103448275862,0.7236842105263158,NA,NA,NA,NA
SCICoNE,beta_0_1_rep44,44,4,0.1,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.47330985915492957,1.0,1.0,NA,NA,NA,NA,0.4311926605504587,0.31756756756756754,0.6714285714285714,NA,NA,NA,NA
